,0.005,0.015,0.025,0.035,0.045,0.055
2008-01-02,1.0,1.0,1.0,1.0,1.0,1.0
2008-01-03,1.0,1.0,1.0,1.0,1.0,1.0
2008-01-04,1.0,1.0,1.0,1.0,1.0,1.0
2008-01-07,1.0,1.0,1.0,1.0,1.0,1.0
2008-01-08,1.0,1.0,1.0,1.0,1.0,1.0
2008-01-09,1.0,1.0,1.0,1.0,1.0,1.0
2008-01-10,1.0,1.0,1.0,1.0,1.0,1.0
2008-01-11,1.0,1.0,1.0,1.0,1.0,1.0
2008-01-14,1.0,1.0,1.0,1.0,1.0,1.0
2008-01-15,1.0,1.0,1.0,1.0,1.0,1.0
2008-01-16,0.9905525000000002,1.0,1.0,1.0,1.0,1.0
2008-01-17,0.9270525000000002,1.0,1.0,1.0,1.0,1.0
2008-01-18,0.9065525000000001,1.0,1.0,1.0,1.0,1.0
2008-01-22,0.9645525000000001,1.0,1.0,1.0,1.0,1.0
2008-01-23,1.1860525000000002,1.0,1.0,1.0,1.0,1.0
2008-01-24,1.1515525000000002,1.0,1.0,1.0,1.0,1.0
2008-01-25,1.0915525000000001,1.0,1.0,1.0,1.0,1.0
2008-01-28,1.1795525000000002,1.0,1.0,1.0,1.0,1.0
2008-01-29,1.2650525000000001,1.0,1.0,1.0,1.0,1.0
2008-01-30,1.2605525000000002,1.0,1.0,1.0,1.0,1.0
2008-01-31,1.2630525000000001,1.0,1.0,1.0,1.0,1.0
2008-02-01,1.3015525000000001,1.0,1.0,1.0,1.0,1.0
2008-02-04,1.2090525,1.0,1.0,1.0,1.0,1.0
2008-02-05,1.1025525,1.0,1.0,1.0,1.0,1.0
2008-02-06,1.0950525000000002,1.0,1.0,1.0,1.0,1.0
2008-02-07,1.1585525,1.0,1.0,1.0,1.0,1.0
2008-02-08,1.0995525000000002,1.0,1.0,1.0,1.0,1.0
2008-02-11,1.0780525,1.0,1.0,1.0,1.0,1.0
2008-02-12,1.0765525000000002,1.0,1.0,1.0,1.0,1.0
2008-02-13,1.1125525,1.0,1.0,1.0,1.0,1.0
2008-02-14,1.0445525000000002,1.0,1.0,1.0,1.0,1.0
2008-02-15,1.0735525000000001,1.0,1.0,1.0,1.0,1.0
2008-02-19,1.0545525000000002,1.0,1.0,1.0,1.0,1.0
2008-02-20,1.0690525000000002,1.0,1.0,1.0,1.0,1.0
2008-02-21,1.0655525000000001,1.0,1.0,1.0,1.0,1.0
2008-02-22,1.1045525,1.0,1.0,1.0,1.0,1.0
2008-02-25,1.1090525000000002,1.0,1.0,1.0,1.0,1.0
2008-02-26,1.0950525000000002,1.0299099999999999,1.0,1.0,1.0,1.0
2008-02-27,1.1265525,0.9984099999999999,1.0506375,1.0,1.0,1.0
2008-02-28,1.0365525000000002,1.0884099999999999,1.1406375,1.0,1.0,1.0
2008-02-29,0.9550525000000002,1.1699099999999998,1.2221375,1.0,1.0,1.0
2008-03-03,0.9170525000000002,1.2079099999999998,1.2601375,1.0,1.0,1.0
2008-03-04,0.8885525000000002,1.2364099999999998,1.2886375,1.0,1.0,1.0
2008-03-05,0.8680525000000001,1.2569099999999997,1.3091375,1.0,1.0,1.0
2008-03-06,0.8055525000000001,1.3194099999999997,1.3716375,1.0,1.0,1.0
2008-03-07,0.8140525000000002,1.3109099999999998,1.3631375,1.0,1.0,1.0
2008-03-10,0.7650525000000001,1.35991,1.4121375,1.0,1.0,1.0
2008-03-11,0.8725525000000002,1.2524099999999998,1.3046375,1.0,1.0,1.0
2008-03-12,0.8620525000000001,1.2629099999999998,1.2270875,1.0,1.0,1.0
2008-03-13,0.8390525000000002,1.2859099999999999,1.2040875,1.0,1.0,1.0
2008-03-14,0.7675525000000002,1.3574099999999998,1.1325875,1.0,1.0,1.0
2008-03-17,0.9395525000000001,1.1854099999999999,1.3045875,1.0,1.0,1.0
2008-03-18,1.0490525000000002,1.07591,1.4140875,1.0,1.0,1.0
2008-03-19,1.0380525,1.0869099999999998,1.4030875,1.0,1.0,1.0
2008-03-20,1.1975525000000002,0.9274099999999998,1.5625875,1.0,1.0,1.0
2008-03-24,1.2240525000000002,0.9009099999999999,1.5890875,1.0,1.0,1.0
2008-03-25,1.2015525000000002,0.9234099999999998,1.5665875,1.0,1.0,1.0
2008-03-26,1.1130525000000002,0.95155,1.4780875,1.0,1.0,1.0
2008-03-27,1.0560525,0.89455,1.4210875,0.931575,1.0,1.0
2008-03-28,1.0490525000000002,0.88755,1.4140875,0.924575,1.0,1.0
2008-03-31,1.0600525,0.89855,1.4250875,0.935575,1.0,1.0
2008-04-01,1.2445525000000002,1.08305,1.6095875,1.120075,1.0,1.0
2008-04-02,1.2270525,1.06555,1.5920875,1.102575,1.0,1.0
2008-04-03,1.2290525,1.06755,1.5940875,1.104575,1.0,1.0
2008-04-04,1.1965525000000001,1.03505,1.5615875,1.072075,1.0,1.0
2008-04-07,1.1950525,1.03355,1.6647875,1.070575,1.0,1.0
2008-04-08,1.1635525000000002,1.00205,1.6962875,1.039075,1.0,1.0
2008-04-09,1.1380525000000001,0.97655,1.7217875,1.013575,1.0,1.0
2008-04-10,1.1175525000000002,0.95605,1.7422875,0.993075,1.0,1.0
2008-04-11,1.0565525000000002,0.89505,1.8032875,0.932075,1.0,1.0
2008-04-14,1.0090525000000001,0.84755,1.8507875,0.884575,1.0,1.0
2008-04-15,1.0375525,0.87605,1.8222875,0.913075,1.0,1.0
2008-04-16,1.1680525000000002,1.00655,1.6917875,1.043575,1.0,1.0
2008-04-17,1.1755525000000002,1.01405,1.6842875,1.051075,1.0,1.0
2008-04-18,1.2050525,1.04355,1.6547875,1.080575,1.0,1.0
2008-04-21,1.1805525000000001,1.01905,1.6792875,1.056075,1.0,1.0
2008-04-22,1.2000525000000002,1.03855,1.6597875,1.075575,1.0,1.0
2008-04-23,1.1770525,1.01555,1.6827875,1.052575,1.0,1.0
2008-04-24,1.2605525000000002,1.09905,1.5992875,1.136075,1.0,1.0
2008-04-25,1.2985525000000002,1.13705,1.5612875,1.174075,1.0,1.0
2008-04-28,1.2775525,1.11605,1.5822875,1.153075,1.0,1.0
2008-04-29,1.2655525,1.10405,1.5942875,1.141075,1.0,1.0
2008-04-30,1.2920525,1.13055,1.5677875,1.167575,1.0,1.0
2008-05-01,1.3655525000000002,1.20405,1.4942875,1.241075,1.0,1.0
2008-05-02,1.3385525000000003,1.17705,1.5212875,1.214075,1.0,1.0
2008-05-05,1.3080525,1.14655,1.5517875,1.183575,1.0,1.0
2008-05-06,1.3170525000000002,1.15555,1.5427875,1.192575,1.0,1.0
2008-05-07,1.2425525000000002,1.08105,1.6172875,1.118075,1.0,1.0
2008-05-08,1.2185525000000001,1.05705,1.6412875,1.094075,1.0,1.0
2008-05-09,1.2425525000000002,1.08105,1.6172875,1.118075,1.0,1.0
2008-05-12,1.2730525000000001,1.11155,1.5867875,1.148575,1.0,1.0
2008-05-13,1.1920525000000002,1.03055,1.6677875,1.067575,1.0,1.0
2008-05-14,1.2120525000000002,1.05055,1.6477875,1.087575,1.0,1.0
2008-05-15,1.2846724999999999,1.10155,1.5967875,1.138575,1.0,1.0
2008-05-16,1.3071724999999998,1.07905,1.6192875,1.116075,1.0,1.0
2008-05-19,1.3321724999999998,1.05405,1.6442875,1.091075,1.0,1.0
2008-05-20,1.4371725,0.94905,1.7492875,0.986075,1.0,1.0
2008-05-21,1.4961725,0.89005,1.8082875,0.927075,1.0,1.0
2008-05-22,1.4671724999999998,0.91905,1.7792875,0.956075,1.0,1.0
2008-05-23,1.5006724999999999,0.88555,1.8127875,0.922575,1.0,1.0
2008-05-27,1.4691724999999998,0.91705,1.7812875,0.954075,1.0,1.0
2008-05-28,1.4761724999999999,0.91005,1.7882875,0.947075,1.0,1.0
2008-05-29,1.4431724999999997,0.94305,1.7552875,0.980075,1.0,1.0
2008-05-30,1.4696725,0.91655,1.7817875,0.953575,1.0,1.0
2008-06-02,1.5086724999999999,0.87755,1.8207875,0.914575,1.0,1.0
2008-06-03,1.5206724999999999,0.86555,1.8327875,0.902575,1.0,1.0
2008-06-04,1.5326724999999999,0.85355,1.8447875,0.890575,1.0,1.10527
2008-06-05,1.5111724999999998,0.87505,1.8232875,0.912075,1.0,1.0837700000000001
2008-06-06,1.6031725,0.78305,1.9152875,0.820075,1.0,1.17577
2008-06-09,1.7221724999999999,0.66405,2.0342875,0.701075,1.0,1.29477
2008-06-10,1.6861724999999999,0.70005,1.9982875,0.737075,1.0,1.2587700000000002
2008-06-11,1.7396725,0.64655,2.0517875,0.683575,1.0,1.31227
2008-06-12,1.6991724999999998,0.68705,2.0112875,0.724075,1.0,1.27177
2008-06-13,1.6266724999999997,0.75955,1.9387875,0.796575,1.0,1.19927
2008-06-16,1.6101724999999998,0.77605,1.9222875,0.813075,1.0,1.18277
2008-06-17,1.6516724999999999,0.73455,1.9637875,0.771575,1.0,1.22427
2008-06-18,1.6651725,0.72105,1.9772875,0.758075,1.0,1.23777
2008-06-19,1.6696725,0.71655,1.9817875,0.753575,1.0,1.24227
2008-06-20,1.7056725,0.68055,2.0177875,0.717575,1.0,1.27827
2008-06-23,1.7511724999999998,0.63505,2.0632875,0.672075,1.0,1.3237700000000001
2008-06-24,1.7121724999999999,0.67405,2.0242875,0.711075,1.0,1.28477
2008-06-25,1.7036725,0.68255,2.0157875,0.719575,1.0,1.27627
2008-06-26,1.7766724999999999,0.60955,2.0887875,0.646575,1.0,1.34927
2008-06-27,1.8351724999999999,0.5510499999999998,2.1472875,0.5880749999999998,1.0,1.4077700000000002
2008-06-30,1.8691725,0.51705,2.1812875,0.554075,1.0,1.44177
2008-07-01,1.8651725,0.52105,2.1772875,0.558075,1.0,1.43777
2008-07-02,1.8381724999999998,0.54805,2.1502875,0.585075,1.0,1.41077
2008-07-03,1.8051724999999998,0.58105,2.1172875,0.618075,1.0,1.3777700000000002
2008-07-07,1.8641724999999998,0.52205,2.1762875,0.559075,1.0,1.43677
2008-07-08,1.7836724999999998,0.60255,2.0957875,0.639575,1.0,1.35627
2008-07-09,1.8526725,0.53355,2.1647875,0.570575,1.0,1.42527
2008-07-10,1.8421724999999998,0.5440500000000001,2.1542875,0.5810750000000002,1.0,1.4147699999999999
2008-07-11,1.8892524999999998,0.48155,2.2167875,0.518575,1.0,1.47727
2008-07-14,1.8207524999999998,0.41305,2.2852875,0.450075,1.0,1.54577
2008-07-15,1.7897524999999999,0.38205,2.3162875,0.419075,1.0,1.57677
2008-07-16,2.0182524999999996,0.61055,2.0877875,0.647575,1.0,1.34827
2008-07-17,2.2442525,0.83655,1.8617875,0.873575,1.0,1.12227
2008-07-18,2.2077525,0.80005,1.8982875,0.837075,1.0,1.15877
2008-07-21,2.1442525,0.73655,1.9617875,0.773575,1.0,1.22227
2008-07-22,2.2472524999999997,0.83955,1.8587875,0.876575,1.0,1.11927
2008-07-23,2.2982525,0.89055,1.8077875,0.927575,1.0,1.06827
2008-07-24,2.1672524999999996,0.75955,1.9387875,0.796575,1.0,1.19927
2008-07-25,2.1847524999999997,0.77705,1.9212875,0.814075,1.0,1.18177
2008-07-28,2.0982524999999996,0.69055,1.9202375,0.727575,0.9212049999999999,1.26827
2008-07-29,2.2417524999999996,0.83405,2.0637375,0.871075,1.064705,1.12477
2008-07-30,2.2802524999999996,0.87255,2.1022375,0.909575,1.103205,1.08627
2008-07-31,2.2362525,0.82855,2.0582375,0.865575,1.059205,1.13027
2008-08-01,2.2422524999999998,0.83455,2.0642375,0.871575,1.065205,1.12427
2008-08-04,2.2137524999999996,0.80605,2.0357375,0.843075,1.036705,1.15277
2008-08-05,2.2947525,0.88705,2.1167375,0.924075,1.117705,1.0717700000000001
2008-08-06,2.2717525,0.86405,2.0937375,0.901075,1.0947049999999998,1.09477
2008-08-07,2.1982524999999997,0.79055,2.0202375,0.827575,1.021205,1.1682700000000001
2008-08-08,2.2567524999999997,0.84905,2.0787375,0.886075,1.079705,1.1097700000000001
2008-08-11,2.2947525,0.88705,2.1167375,0.924075,1.117705,1.0717700000000001
2008-08-12,2.1102524999999996,0.70255,1.9322375,0.739575,0.933205,1.25627
2008-08-13,2.0632525,0.65555,1.8852375,0.692575,0.8862049999999999,1.3032700000000002
2008-08-14,2.1052524999999997,0.69755,1.9272375,0.734575,0.928205,1.2612700000000001
2008-08-15,2.1172524999999998,0.70955,1.9392375,0.746575,0.940205,1.24927
2008-08-18,2.0552525,0.64755,1.8772375,0.684575,0.8782049999999999,1.3112700000000002
2008-08-19,2.0017525,0.59405,1.8237375,0.631075,0.8247049999999999,1.36477
2008-08-20,2.0677524999999997,0.66005,1.8897375,0.697075,0.890705,1.29877
2008-08-21,2.0332524999999997,0.62555,1.8552375,0.662575,0.8562049999999999,1.3332700000000002
2008-08-22,2.0987525,0.69105,1.9207375,0.728075,0.9217049999999999,1.26777
2008-08-25,2.0440524999999994,0.61955,1.8492375,0.656575,0.8502049999999999,1.3392700000000002
2008-08-26,2.0220524999999996,0.64155,1.8712375,0.678575,0.8722049999999999,1.3172700000000002
2008-08-27,1.9970524999999995,0.66655,1.8962375,0.703575,0.8972049999999999,1.29227
2008-08-28,1.9165524999999994,0.74705,1.9767375,0.784075,0.9777049999999999,1.21177
2008-08-29,1.9345524999999995,0.72905,1.9587375,0.766075,0.9597049999999999,1.22977
2008-09-02,1.9110524999999994,0.75255,1.9822375,0.789575,0.9832049999999999,1.2062700000000002
2008-09-03,1.8775524999999995,0.78605,2.0157375,0.823075,1.016705,1.17277
2008-09-04,1.9615524999999994,0.70205,1.9317375,0.739075,0.9327049999999999,1.2567700000000002
2008-09-05,1.8830524999999994,0.78055,2.0102375,0.817575,1.011205,1.1782700000000002
2008-09-08,1.7920524999999994,0.87155,2.1012375,0.908575,1.1022049999999999,1.0872700000000002
2008-09-09,1.8707024999999995,0.77455,2.0042375,0.811575,1.005205,1.1842700000000002
2008-09-10,1.886022499999999,0.77155,2.0012375,0.808575,1.002205,1.18727
2008-09-11,1.7815224999999992,0.87605,2.1057375,0.913075,1.1067049999999998,1.08277
2008-09-12,1.8040224999999992,0.85355,2.0832375,0.890575,1.0842049999999999,1.10527
2008-09-15,1.9975224999999992,0.66005,1.8897375,0.697075,0.890705,1.29877
2008-09-16,1.8240224999999992,0.83355,2.0632375,0.870575,1.0642049999999998,1.12527
2008-09-17,2.0550224999999993,0.60255,1.8322375,0.639575,0.833205,1.35627
2008-09-18,1.8445224999999992,0.81305,2.0427375,0.850075,1.0437049999999999,1.1457700000000002
